Source,Target,Value
"""Streeter, Gary""","""Department for Education""",1
"""Streeter, Gary""","""Department for Transport""",2
"""Streeter, Gary""","""Department of Health""",4
"""Streeter, Gary""","""Foreign and Commonwealth Office""",1
"""Streeter, Gary""","""Home Office""",1
"""Streeter, Gary""","""Treasury""",5
"""Streeting, Wes""","""Communities and Local Government""",2
"""Streeting, Wes""","""Department for Business, Innovation and Skills""",1
"""Streeting, Wes""","""Department for Culture, Media and Sport""",1
"""Streeting, Wes""","""Department for Education""",1
"""Streeting, Wes""","""Department for Environment, Food and Rural Affairs""",2
"""Streeting, Wes""","""Department for International Development""",3
"""Streeting, Wes""","""Department of Health""",14
"""Streeting, Wes""","""Foreign and Commonwealth Office""",4
"""Streeting, Wes""","""Home Office""",6
"""Streeting, Wes""","""Ministry of Defence""",3
"""Streeting, Wes""","""Ministry of Justice""",1
"""Streeting, Wes""","""Prime Minister""",2
"""Streeting, Wes""","""Treasury""",9
"""Stringer, Graham""","""Department for Culture, Media and Sport""",1
"""Stringer, Graham""","""Department for Transport""",3
"""Stringer, Graham""","""Department of Energy and Climate Change""",1
"""Stringer, Graham""","""Department of Health""",4
"""Stringer, Graham""","""Ministry of Justice""",1
"""Stuart, Gisela""","""Department for Culture, Media and Sport""",1
"""Stuart, Gisela""","""Department for Environment, Food and Rural Affairs""",1
"""Stuart, Gisela""","""Department of Health""",1
"""Stuart, Gisela""","""Foreign and Commonwealth Office""",1
"""Stuart, Gisela""","""Ministry of Defence""",1
"""Stuart, Graham""","""Department for Business, Innovation and Skills""",2
"""Stuart, Graham""","""Department for Education""",5
"""Stuart, Graham""","""Department for Environment, Food and Rural Affairs""",1
"""Stuart, Graham""","""Department for Transport""",3
"""Stuart, Graham""","""Department of Energy and Climate Change""",1
"""Stuart, Graham""","""Department of Health""",1
"""Stuart, Graham""","""Ministry of Justice""",2
"""Sturdy, Julian""","""Communities and Local Government""",5
"""Sturdy, Julian""","""Department for Business, Innovation and Skills""",1
"""Sturdy, Julian""","""Department for Culture, Media and Sport""",1
"""Sturdy, Julian""","""Department for Environment, Food and Rural Affairs""",7
"""Sturdy, Julian""","""Department for International Development""",3
"""Sturdy, Julian""","""Department for Transport""",7
"""Sturdy, Julian""","""Department for Work and Pensions""",1
"""Sturdy, Julian""","""Department of Energy and Climate Change""",5
"""Sturdy, Julian""","""Department of Health""",10
"""Sturdy, Julian""","""Foreign and Commonwealth Office""",2
"""Sturdy, Julian""","""Home Office""",1
"""Sturdy, Julian""","""Ministry of Defence""",1
"""Sturdy, Julian""","""Ministry of Justice""",2
"""Sturdy, Julian""","""Treasury""",1
"""Sunak, Rishi""","""Communities and Local Government""",1
"""Sunak, Rishi""","""Department of Health""",1
"""Syms, Robert""","""Department for Business, Innovation and Skills""",1
"""Syms, Robert""","""Department for Work and Pensions""",1
"""Syms, Robert""","""Department of Health""",3
"""Tami, Mark""","""Department for Business, Innovation and Skills""",2
"""Tami, Mark""","""Department for Transport""",7
"""Tami, Mark""","""Department of Health""",14
"""Tami, Mark""","""House of Commons Commission""",1
"""Tami, Mark""","""Leader of the House of Commons""",1
"""Tami, Mark""","""Treasury""",2
"""Thewliss, Alison""","""Cabinet Office""",2
"""Thewliss, Alison""","""Cabinet Office; UK Statistics Authority""",7
"""Thewliss, Alison""","""Communities and Local Government""",2
"""Thewliss, Alison""","""Department for Business, Innovation and Skills""",2
"""Thewliss, Alison""","""Department for Transport""",1
"""Thewliss, Alison""","""Department for Work and Pensions""",11
"""Thewliss, Alison""","""Department of Health""",1
"""Thewliss, Alison""","""Foreign and Commonwealth Office""",1
"""Thewliss, Alison""","""Home Office""",10
"""Thewliss, Alison""","""Treasury""",13
"""Thomas, Derek""","""Communities and Local Government""",1
"""Thomas, Derek""","""Department for Business, Innovation and Skills""",8
"""Thomas, Derek""","""Department for Education""",1
"""Thomas, Derek""","""Department for International Development""",1
"""Thomas, Derek""","""Department for Work and Pensions""",1
"""Thomas, Derek""","""Department of Health""",7
"""Thomas, Derek""","""Foreign and Commonwealth Office""",1
"""Thomas, Derek""","""Home Office""",1
"""Thomas, Derek""","""Ministry of Defence""",1
"""Thomas, Derek""","""Treasury""",1
"""Thomas, Gareth (Harrow West)""","""Attorney General""",1
"""Thomas, Gareth (Harrow West)""","""Cabinet Office""",5
"""Thomas, Gareth (Harrow West)""","""Church Commissioners""",1
"""Thomas, Gareth (Harrow West)""","""Communities and Local Government""",4
"""Thomas, Gareth (Harrow West)""","""Department for Business, Innovation and Skills""",4
"""Thomas, Gareth (Harrow West)""","""Department for Culture, Media and Sport""",1
"""Thomas, Gareth (Harrow West)""","""Department for Education""",12
"""Thomas, Gareth (Harrow West)""","""Department for Environment, Food and Rural Affairs""",1
"""Thomas, Gareth (Harrow West)""","""Department for International Development""",10
"""Thomas, Gareth (Harrow West)""","""Department for Transport""",8
"""Thomas, Gareth (Harrow West)""","""Department for Work and Pensions""",3
"""Thomas, Gareth (Harrow West)""","""Department of Energy and Climate Change""",1
"""Thomas, Gareth (Harrow West)""","""Department of Health""",12
"""Thomas, Gareth (Harrow West)""","""Foreign and Commonwealth Office""",7
"""Thomas, Gareth (Harrow West)""","""Home Office""",19
"""Thomas, Gareth (Harrow West)""","""House of Commons Commission""",1
"""Thomas, Gareth (Harrow West)""","""Leader of the House of Commons""",1
"""Thomas, Gareth (Harrow West)""","""Minister for Women and Equalities""",1
"""Thomas, Gareth (Harrow West)""","""Ministry of Defence""",16
"""Thomas, Gareth (Harrow West)""","""Ministry of Justice""",3
"""Thomas, Gareth (Harrow West)""","""Northern Ireland Office""",1
"""Thomas, Gareth (Harrow West)""","""Prime Minister""",2
"""Thomas, Gareth (Harrow West)""","""Scotland Office""",1
"""Thomas, Gareth (Harrow West)""","""Treasury""",8
"""Thomas, Gareth (Harrow West)""","""Wales Office""",1
"""Thomas-Symonds, Nick""","""Attorney General""",2
"""Thomas-Symonds, Nick""","""Communities and Local Government""",1
"""Thomas-Symonds, Nick""","""Department for Business, Innovation and Skills""",5
"""Thomas-Symonds, Nick""","""Department for Environment, Food and Rural Affairs""",1
"""Thomas-Symonds, Nick""","""Department for Transport""",1
"""Thomas-Symonds, Nick""","""Department for Work and Pensions""",24
"""Thomas-Symonds, Nick""","""Department of Energy and Climate Change""",2
"""Thomas-Symonds, Nick""","""Department of Health""",21
"""Thomas-Symonds, Nick""","""Home Office""",1
"""Thomas-Symonds, Nick""","""Ministry of Justice""",4
"""Thompson, Owen""","""Cabinet Office""",1
"""Thompson, Owen""","""Department for Business, Innovation and Skills""",8
"""Thompson, Owen""","""Department for Culture, Media and Sport""",8
"""Thompson, Owen""","""Department for International Development""",4
"""Thompson, Owen""","""Department for Work and Pensions""",1
"""Thompson, Owen""","""Home Office""",1
"""Thompson, Owen""","""Ministry of Defence""",11
"""Thompson, Owen""","""Scotland Office""",2
"""Thompson, Owen""","""Treasury""",9
"""Thomson, Michelle""","""Department for International Development""",1
"""Thomson, Michelle""","""Home Office""",4
"""Thomson, Michelle""","""Treasury""",4
"""Thornberry, Emily""","""Attorney General""",5
"""Thornberry, Emily""","""Cabinet Office""",27
"""Thornberry, Emily""","""Cabinet Office; UK Statistics Authority""",1
"""Thornberry, Emily""","""Communities and Local Government""",22
"""Thornberry, Emily""","""Department for Business, Innovation and Skills""",2
"""Thornberry, Emily""","""Department for Education""",8
"""Thornberry, Emily""","""Department for Work and Pensions""",238
"""Thornberry, Emily""","""Department of Energy and Climate Change""",4
"""Thornberry, Emily""","""Department of Health""",48
"""Thornberry, Emily""","""Foreign and Commonwealth Office""",4
"""Thornberry, Emily""","""Home Office""",10
"""Thornberry, Emily""","""Minister for Women and Equalities""",1
"""Thornberry, Emily""","""Ministry of Defence""",109
"""Thornberry, Emily""","""Ministry of Justice""",16
"""Thornberry, Emily""","""Northern Ireland Office""",1
"""Thornberry, Emily""","""Speaker's Committee on the Electoral Commission""",1
"""Thornberry, Emily""","""Treasury""",22
"""Throup, Maggie""","""Cabinet Office""",1
"""Throup, Maggie""","""Department of Health""",5
"""Timms, Stephen""","""Cabinet Office""",3
"""Timms, Stephen""","""Cabinet Office; UK Statistics Authority""",5
"""Timms, Stephen""","""Communities and Local Government""",22
"""Timms, Stephen""","""Department for Business, Innovation and Skills""",15
"""Timms, Stephen""","""Department for Culture, Media and Sport""",23
"""Timms, Stephen""","""Department for Education""",60
"""Timms, Stephen""","""Department for Environment, Food and Rural Affairs""",3
"""Timms, Stephen""","""Department for International Development""",4
"""Timms, Stephen""","""Department for Transport""",21
"""Timms, Stephen""","""Department for Work and Pensions""",253
"""Timms, Stephen""","""Department of Energy and Climate Change""",2
"""Timms, Stephen""","""Department of Health""",14
"""Timms, Stephen""","""Foreign and Commonwealth Office""",5
"""Timms, Stephen""","""Home Office""",29
"""Timms, Stephen""","""Minister for Women and Equalities""",1
"""Timms, Stephen""","""Ministry of Justice""",6
"""Timms, Stephen""","""Prime Minister""",1
"""Timms, Stephen""","""Treasury""",55
"""Tolhurst, Kelly""","""Department of Energy and Climate Change""",2
"""Tolhurst, Kelly""","""Foreign and Commonwealth Office""",2
"""Tolhurst, Kelly""","""Home Office""",2
"""Tolhurst, Kelly""","""Ministry of Defence""",1
"""Tomlinson, Michael""","""Cabinet Office; UK Statistics Authority""",5
"""Tomlinson, Michael""","""Communities and Local Government""",19
"""Tomlinson, Michael""","""Department for Business, Innovation and Skills""",1
"""Tomlinson, Michael""","""Department for Education""",1
"""Tomlinson, Michael""","""Department for Environment, Food and Rural Affairs""",3
"""Tomlinson, Michael""","""Department for Transport""",2
"""Tomlinson, Michael""","""Department for Work and Pensions""",2
"""Tomlinson, Michael""","""Home Office""",5
"""Tracey, Craig""","""Department for Education""",1
"""Tracey, Craig""","""Department of Health""",1
"""Tracey, Craig""","""Treasury""",1
"""Tredinnick, David""","""Department of Health""",3
"""Trevelyan, Anne-Marie""","""Communities and Local Government""",2
"""Trevelyan, Anne-Marie""","""Department for Business, Innovation and Skills""",1
"""Trevelyan, Anne-Marie""","""Department for Culture, Media and Sport""",3
"""Trevelyan, Anne-Marie""","""Department for Education""",3
"""Trevelyan, Anne-Marie""","""Department for Environment, Food and Rural Affairs""",2
"""Trevelyan, Anne-Marie""","""Department for Work and Pensions""",4
"""Trevelyan, Anne-Marie""","""Department of Energy and Climate Change""",3
"""Trevelyan, Anne-Marie""","""Department of Health""",8
"""Trevelyan, Anne-Marie""","""Foreign and Commonwealth Office""",1
"""Trevelyan, Anne-Marie""","""Home Office""",5
"""Trevelyan, Anne-Marie""","""Ministry of Defence""",5
"""Trickett, Jon""","""Communities and Local Government""",2
"""Trickett, Jon""","""Department for Education""",2
"""Trickett, Jon""","""Department for Work and Pensions""",1
"""Trickett, Jon""","""Department of Health""",1
"""Trickett, Jon""","""Home Office""",4
"""Tugendhat, Tom""","""Department for Environment, Food and Rural Affairs""",3
"""Tugendhat, Tom""","""Department for Transport""",1
"""Tugendhat, Tom""","""Department for Work and Pensions""",2
"""Tugendhat, Tom""","""Treasury""",5
"""Turley, Anna""","""Cabinet Office""",4
"""Turley, Anna""","""Communities and Local Government""",2
"""Turley, Anna""","""Department for Business, Innovation and Skills""",16
"""Turley, Anna""","""Department for Culture, Media and Sport""",2
"""Turley, Anna""","""Department for Education""",5
"""Turley, Anna""","""Department for International Development""",1
"""Turley, Anna""","""Department for Work and Pensions""",1
"""Turley, Anna""","""Department of Energy and Climate Change""",2
"""Turley, Anna""","""Department of Health""",1
"""Turley, Anna""","""Treasury""",2
"""Turner, Andrew""","""Department for Business, Innovation and Skills""",1
"""Turner, Andrew""","""Department for Education""",1
"""Turner, Andrew""","""Department for Environment, Food and Rural Affairs""",3
"""Turner, Andrew""","""Department for International Development""",1
"""Turner, Andrew""","""Department for Transport""",3
"""Turner, Andrew""","""Department for Work and Pensions""",2
"""Turner, Andrew""","""Department of Health""",2
"""Turner, Andrew""","""Home Office""",1
"""Turner, Andrew""","""House of Commons Commission""",2
"""Turner, Andrew""","""Ministry of Justice""",1
"""Turner, Andrew""","""Treasury""",1
"""Turner, Andrew""","""Wales Office""",1
"""Turner, Karl""","""Attorney General""",9
"""Turner, Karl""","""Department for Transport""",4
